гьаба	бок
лаба	кобель
саба	пыль
таба	сковорода
тшаба	мерин
фзаба	вдова
чваба	воск
лаба	палка
хъвбаба	волосатый
йыба	сирота
аба	куда, где
абан	вон
абар	вот
гвабан	матрас
дабар	вот (человек)
жваба	десятка
къабат	слой
сабап	польза
хабар	известие
шаба	высохший
шабар	городовина
дзгага	водопровод
жьага	приманка
квсага	выкройка
лага	дурак
мшгага	времяпрепровождение
нхага	инструмент
сага	бритва
хвага	тень
тшага	мотыга
ага	как бы то ни было, во всяком случае
бага	лиса
дзбжьага	залив
квнага	заслуга
нкъвгага	транспорт
псага	сорго
ртшхъвага	похвальный
хчага	оборонный
хъщгIага	смертоносный
кIвада	слабый
чвада	бесцветный
нчвада	безбожник
пхада	бесцеремонный
пцIада	безусый
нхада	ленивый
дада	дед
зада	крутой
згIвада	здоровый
ада	лягушка
гьадащ	курятник
гIвада	косогор
йхъададзу	существенный
къвадан	стройный
мадах	ландыш
тшада	осел
хIвадагв	лебеда
цIладагв	лжекаштан
дзакIьа	край
жакIьа	борода
хъвакIьа	бахрома
цIакIьа	гнида
хъакъапщ	красноголовый
кIакIан	орех
жакIьадз	удочка
бнакъа	фасад
къаб	тыква
рхъакъаб	огурец
сакъат	инвалид
сакъау	болезненный
хбгъьхъакъапщ	клевер
хъакъаб	с головой как у тыквы
накьахI	брак
гвапа	приятный
къвапа	угол
кIьапа	курдюк
напа	лицо
ъапа	клавиш
тлапад	чулок
хъапахь	лоб
тлапIа	дорогой
тшуапIа	потник
уапIа	бурка
хъапIа	перхоть
напIах	привидение
цIапIа	мерзкий
бзита	хорошо
кIата	сеть
къкъ	сметана
гвчIвата	жадно
гIвбата	вдвое
жвпIата	густо
лгIвата	дымно
пшдзата	красиво
сгIата	низко
тшвата	узко
гьата	сабля
хъата	сторона
гьатан	брезент
кьатан	лен
кIватан	плуг
уатра	место
фатар	квартира
тлатапс	торока
уатапс	гной
хъатачIв	личный
тIатIа	вязкий
аркъан	бечева
гьагьа	круг
льагьан	таз
нагьагIв	зоб
судагьар	спекулянт
къьатIа	слякотный
мшIтIатIа	липа
пIатIау	движение
ахъа	моль
дзахъа	начало
жвахъа	позавчера
жвгIвахъа	плечо
махъа	рука
уахъа	сегодня
угIахъа	народность
шIахъа	лицо
хвата	шаль
цкьата	чисто
чгата	натощак
чвгьата	зло
щата	корень
хъатахв	себестоимость 
татартIуп	бузина 
ъадаб	воспитанность 
	
	
	
	
	
	
	

